image,label
17374.jpg,retinitis pigmentosa
17441.jpg,retinitis pigmentosa
17451.jpg,retinitis pigmentosa
23033.jpg,retinitis pigmentosa
18166.jpg,retinitis pigmentosa
18158.jpg,retinitis pigmentosa
11404.jpg,retinitis pigmentosa
18047.jpg,retinitis pigmentosa
132946.jpg,retinitis pigmentosa
17693.jpg,retinitis pigmentosa
17445.jpg,retinitis pigmentosa
23000.jpg,retinitis pigmentosa
17690.jpg,retinitis pigmentosa
7680.jpg,retinitis pigmentosa
1726.jpg,retinitis pigmentosa
22998.jpg,retinitis pigmentosa
5676.jpg,retinitis pigmentosa
12584.jpg,retinitis pigmentosa
130295.jpg,retinitis pigmentosa
5142.jpg,retinitis pigmentosa
19762.jpg,retinitis pigmentosa
8777.jpg,retinitis pigmentosa
17679.jpg,retinitis pigmentosa
95645.jpg,retinitis pigmentosa
22994.jpg,retinitis pigmentosa
28287.jpg,retinitis pigmentosa
29807.jpg,retinitis pigmentosa
4738.jpg,retinitis pigmentosa
17375.jpg,retinitis pigmentosa
17348.jpg,retinitis pigmentosa
73619.jpg,retinitis pigmentosa
28284.jpg,retinitis pigmentosa
4730.jpg,retinitis pigmentosa
2962.jpg,retinitis pigmentosa
18162.jpg,retinitis pigmentosa
26839.jpg,retinitis pigmentosa
26840.jpg,retinitis pigmentosa
4770.jpg,retinitis pigmentosa
27657.jpg,retinitis pigmentosa
22996.jpg,retinitis pigmentosa
130718.jpg,retinitis pigmentosa
17678.jpg,retinitis pigmentosa
18169.jpg,retinitis pigmentosa
23015.jpg,retinitis pigmentosa
4735.jpg,retinitis pigmentosa
25001.jpg,retinitis pigmentosa
5679.jpg,retinitis pigmentosa
1728.jpg,retinitis pigmentosa
112314.jpg,retinitis pigmentosa
130478.jpg,retinitis pigmentosa
12582.jpg,retinitis pigmentosa
11415.jpg,retinitis pigmentosa
5151.jpg,retinitis pigmentosa
17688.jpg,retinitis pigmentosa
4769.jpg,retinitis pigmentosa
28288.jpg,retinitis pigmentosa
17354.jpg,retinitis pigmentosa
2964.jpg,retinitis pigmentosa
26952.jpg,retinitis pigmentosa
130230.jpg,retinitis pigmentosa
131339.jpg,retinitis pigmentosa
4743.jpg,retinitis pigmentosa
4737.jpg,retinitis pigmentosa
20574.jpg,retinitis pigmentosa
17448.jpg,retinitis pigmentosa
4734.jpg,retinitis pigmentosa
2965.jpg,retinitis pigmentosa
17442.jpg,retinitis pigmentosa
18160.jpg,retinitis pigmentosa
23017.jpg,retinitis pigmentosa
130657.jpg,retinitis pigmentosa
11418.jpg,retinitis pigmentosa
16628.jpg,retinitis pigmentosa
17373.jpg,retinitis pigmentosa
22990.jpg,retinitis pigmentosa
132677.jpg,retinitis pigmentosa
133067.jpg,retinitis pigmentosa
11411.jpg,retinitis pigmentosa
4741.jpg,retinitis pigmentosa
17436.jpg,retinitis pigmentosa
118644.jpg,retinitis pigmentosa
23010.jpg,retinitis pigmentosa
17453.jpg,retinitis pigmentosa
29199.jpg,retinitis pigmentosa
132752.jpg,retinitis pigmentosa
17367.jpg,retinitis pigmentosa
130677.jpg,retinitis pigmentosa
4722.jpg,retinitis pigmentosa
128066.jpg,retinitis pigmentosa
19763.jpg,retinitis pigmentosa
11775.jpg,retinitis pigmentosa
17438.jpg,retinitis pigmentosa
131362.jpg,retinitis pigmentosa
22995.jpg,retinitis pigmentosa
18050.jpg,retinitis pigmentosa
23018.jpg,retinitis pigmentosa
17358.jpg,retinitis pigmentosa
17361.jpg,retinitis pigmentosa
131364.jpg,retinitis pigmentosa
27732.jpg,retinitis pigmentosa
16579.jpg,retinitis pigmentosa
67375.jpg,retinitis pigmentosa
132963.jpg,retinitis pigmentosa
25855.jpg,retinitis pigmentosa
22993.jpg,retinitis pigmentosa
22999.jpg,retinitis pigmentosa
4726.jpg,retinitis pigmentosa
23005.jpg,retinitis pigmentosa
18045.jpg,retinitis pigmentosa
17366.jpg,retinitis pigmentosa
17695.jpg,retinitis pigmentosa
130458.jpg,retinitis pigmentosa
14659.jpg,retinitis pigmentosa
132980.jpg,retinitis pigmentosa
124963.jpg,retinitis pigmentosa
17357.jpg,retinitis pigmentosa
18159.jpg,retinitis pigmentosa
133892.jpg,retinitis pigmentosa
288.jpg,retinitis pigmentosa
22992.jpg,retinitis pigmentosa
18168.jpg,retinitis pigmentosa
80925.jpg,retinitis pigmentosa
17360.jpg,retinitis pigmentosa
18049.jpg,retinitis pigmentosa
6239.jpg,retinitis pigmentosa
7683.jpg,retinitis pigmentosa
27212.jpg,retinitis pigmentosa
11407.jpg,retinitis pigmentosa
17686.jpg,retinitis pigmentosa
4771.jpg,retinitis pigmentosa
11413.jpg,retinitis pigmentosa
16576.jpg,retinitis pigmentosa
23032.jpg,retinitis pigmentosa
22997.jpg,retinitis pigmentosa
18046.jpg,retinitis pigmentosa
4767.jpg,retinitis pigmentosa
707.jpg,retinitis pigmentosa
99787.jpg,retinitis pigmentosa
17349.jpg,retinitis pigmentosa
74654.jpg,retinitis pigmentosa
17365.jpg,retinitis pigmentosa
18051.jpg,retinitis pigmentosa
7681.jpg,retinitis pigmentosa
17684.jpg,retinitis pigmentosa
17347.jpg,retinitis pigmentosa
132834.jpg,retinitis pigmentosa
11408.jpg,retinitis pigmentosa
17449.jpg,retinitis pigmentosa
17343.jpg,retinitis pigmentosa
4772.jpg,retinitis pigmentosa
17443.jpg,retinitis pigmentosa
22991.jpg,retinitis pigmentosa
17454.jpg,retinitis pigmentosa
4744.jpg,retinitis pigmentosa
23014.jpg,retinitis pigmentosa
4746.jpg,retinitis pigmentosa
4732.jpg,retinitis pigmentosa
19767.jpg,retinitis pigmentosa
17694.jpg,retinitis pigmentosa
23013.jpg,retinitis pigmentosa
27309.jpg,retinitis pigmentosa
17682.jpg,retinitis pigmentosa
5677.jpg,retinitis pigmentosa
18165.jpg,retinitis pigmentosa
23004.jpg,retinitis pigmentosa
17341.jpg,retinitis pigmentosa
17446.jpg,retinitis pigmentosa
17775.jpg,retinitis pigmentosa
26882.jpg,retinitis pigmentosa
19766.jpg,retinitis pigmentosa
28324.jpg,retinitis pigmentosa
27210.jpg,retinitis pigmentosa
17774.jpg,retinitis pigmentosa
11406.jpg,retinitis pigmentosa
132784.jpg,retinitis pigmentosa
19764.jpg,retinitis pigmentosa
130522.jpg,retinitis pigmentosa
23042.jpg,retinitis pigmentosa
4766.jpg,retinitis pigmentosa
29270.jpg,retinitis pigmentosa
25848.jpg,retinitis pigmentosa
27998.jpg,retinitis pigmentosa
17346.jpg,retinitis pigmentosa
130566.jpg,retinitis pigmentosa
27750.jpg,retinitis pigmentosa
18044.jpg,retinitis pigmentosa
17680.jpg,retinitis pigmentosa
131365.jpg,retinitis pigmentosa
119654.jpg,retinitis pigmentosa
32143.jpg,retinitis pigmentosa
23006.jpg,retinitis pigmentosa
11762.jpg,retinitis pigmentosa
28285.jpg,retinitis pigmentosa
11414.jpg,retinitis pigmentosa
22980.jpg,retinitis pigmentosa
19761.jpg,retinitis pigmentosa
7682.jpg,retinitis pigmentosa
4727.jpg,retinitis pigmentosa
85119.jpg,proliferative diabetic retinopathy (pdr)
130514.jpg,proliferative diabetic retinopathy (pdr)
25036.jpg,proliferative diabetic retinopathy (pdr)
132817.jpg,proliferative diabetic retinopathy (pdr)
18149.jpg,proliferative diabetic retinopathy (pdr)
105063.gif,proliferative diabetic retinopathy (pdr)
16605.jpg,proliferative diabetic retinopathy (pdr)
65291.jpg,proliferative diabetic retinopathy (pdr)
13495.jpg,proliferative diabetic retinopathy (pdr)
24277.jpg,proliferative diabetic retinopathy (pdr)
27917.jpg,proliferative diabetic retinopathy (pdr)
83052.jpg,proliferative diabetic retinopathy (pdr)
130244.jpg,proliferative diabetic retinopathy (pdr)
57065.jpg,proliferative diabetic retinopathy (pdr)
28381.jpg,proliferative diabetic retinopathy (pdr)
19732.jpg,proliferative diabetic retinopathy (pdr)
15505.jpg,proliferative diabetic retinopathy (pdr)
27691.jpg,proliferative diabetic retinopathy (pdr)
48699.jpg,proliferative diabetic retinopathy (pdr)
16609.jpg,proliferative diabetic retinopathy (pdr)
24065.jpg,proliferative diabetic retinopathy (pdr)
31130.jpg,proliferative diabetic retinopathy (pdr)
18147.jpg,proliferative diabetic retinopathy (pdr)
52828.jpg,proliferative diabetic retinopathy (pdr)
52805.jpg,proliferative diabetic retinopathy (pdr)
27656.jpg,proliferative diabetic retinopathy (pdr)
15499.jpg,proliferative diabetic retinopathy (pdr)
19738.jpg,proliferative diabetic retinopathy (pdr)
15189.jpg,proliferative diabetic retinopathy (pdr)
130416.jpg,proliferative diabetic retinopathy (pdr)
99764.jpg,proliferative diabetic retinopathy (pdr)
133419.jpg,proliferative diabetic retinopathy (pdr)
85161.jpg,proliferative diabetic retinopathy (pdr)
41486.jpg,proliferative diabetic retinopathy (pdr)
133803.jpg,proliferative diabetic retinopathy (pdr)
15969.jpg,proliferative diabetic retinopathy (pdr)
28406.jpg,proliferative diabetic retinopathy (pdr)
130590.jpg,proliferative diabetic retinopathy (pdr)
15508.jpg,proliferative diabetic retinopathy (pdr)
55872.jpg,proliferative diabetic retinopathy (pdr)
18246.jpg,proliferative diabetic retinopathy (pdr)
27145.jpg,proliferative diabetic retinopathy (pdr)
130477.jpg,proliferative diabetic retinopathy (pdr)
95635.jpg,proliferative diabetic retinopathy (pdr)
19163.jpg,proliferative diabetic retinopathy (pdr)
19165.jpg,proliferative diabetic retinopathy (pdr)
131369.jpg,proliferative diabetic retinopathy (pdr)
52826.jpg,proliferative diabetic retinopathy (pdr)
52800.jpg,proliferative diabetic retinopathy (pdr)
19101.jpg,proliferative diabetic retinopathy (pdr)
74756.jpg,proliferative diabetic retinopathy (pdr)
71506.jpg,proliferative diabetic retinopathy (pdr)
133850.jpg,proliferative diabetic retinopathy (pdr)
72551.jpg,proliferative diabetic retinopathy (pdr)
43593.jpg,proliferative diabetic retinopathy (pdr)
130188.jpg,proliferative diabetic retinopathy (pdr)
130777.jpg,proliferative diabetic retinopathy (pdr)
83051.jpg,proliferative diabetic retinopathy (pdr)
77861.jpg,proliferative diabetic retinopathy (pdr)
122904.jpg,proliferative diabetic retinopathy (pdr)
28000.jpg,proliferative diabetic retinopathy (pdr)
16612.jpg,proliferative diabetic retinopathy (pdr)
101903.jpg,proliferative diabetic retinopathy (pdr)
25887.jpg,proliferative diabetic retinopathy (pdr)
130185.jpg,proliferative diabetic retinopathy (pdr)
18986.jpg,proliferative diabetic retinopathy (pdr)
24281.jpg,proliferative diabetic retinopathy (pdr)
120758.jpg,proliferative diabetic retinopathy (pdr)
27268.jpg,proliferative diabetic retinopathy (pdr)
91356.jpg,proliferative diabetic retinopathy (pdr)
133116.jpg,proliferative diabetic retinopathy (pdr)
130660.jpg,proliferative diabetic retinopathy (pdr)
131450.jpg,proliferative diabetic retinopathy (pdr)
102952.jpg,proliferative diabetic retinopathy (pdr)
27420.jpg,proliferative diabetic retinopathy (pdr)
15188.jpg,proliferative diabetic retinopathy (pdr)
85100.jpg,proliferative diabetic retinopathy (pdr)
90282.jpg,proliferative diabetic retinopathy (pdr)
120748.jpg,proliferative diabetic retinopathy (pdr)
19164.jpg,proliferative diabetic retinopathy (pdr)
43545.jpg,proliferative diabetic retinopathy (pdr)
60181.jpg,proliferative diabetic retinopathy (pdr)
125985.jpg,proliferative diabetic retinopathy (pdr)
53829.jpg,proliferative diabetic retinopathy (pdr)
96664.jpg,proliferative diabetic retinopathy (pdr)
130525.jpg,proliferative diabetic retinopathy (pdr)
24848.jpg,proliferative diabetic retinopathy (pdr)
131086.jpg,proliferative diabetic retinopathy (pdr)
24279.jpg,proliferative diabetic retinopathy (pdr)
27754.jpg,proliferative diabetic retinopathy (pdr)
16572.jpg,proliferative diabetic retinopathy (pdr)
130572.jpg,proliferative diabetic retinopathy (pdr)
131146.jpg,proliferative diabetic retinopathy (pdr)
130263.jpg,proliferative diabetic retinopathy (pdr)
29518.jpg,proliferative diabetic retinopathy (pdr)
28468.jpg,proliferative diabetic retinopathy (pdr)
130653.jpg,proliferative diabetic retinopathy (pdr)
16618.jpg,proliferative diabetic retinopathy (pdr)
15509.jpg,proliferative diabetic retinopathy (pdr)
19737.jpg,proliferative diabetic retinopathy (pdr)
85163.jpg,proliferative diabetic retinopathy (pdr)
130704.jpg,proliferative diabetic retinopathy (pdr)
15504.jpg,proliferative diabetic retinopathy (pdr)
132818.jpg,proliferative diabetic retinopathy (pdr)
15500.jpg,proliferative diabetic retinopathy (pdr)
28437.jpg,proliferative diabetic retinopathy (pdr)
13334.jpg,proliferative diabetic retinopathy (pdr)
26472.jpg,proliferative diabetic retinopathy (pdr)
18156.jpg,proliferative diabetic retinopathy (pdr)
27429.jpg,proliferative diabetic retinopathy (pdr)
116542.jpg,proliferative diabetic retinopathy (pdr)
27535.jpg,proliferative diabetic retinopathy (pdr)
113455.jpg,proliferative diabetic retinopathy (pdr)
84072.jpg,proliferative diabetic retinopathy (pdr)
83023.jpg,proliferative diabetic retinopathy (pdr)
130243.jpg,proliferative diabetic retinopathy (pdr)
50761.jpg,proliferative diabetic retinopathy (pdr)
120747.jpg,proliferative diabetic retinopathy (pdr)
130592.jpg,proliferative diabetic retinopathy (pdr)
28333.jpg,proliferative diabetic retinopathy (pdr)
20738.jpg,proliferative diabetic retinopathy (pdr)
28336.jpg,proliferative diabetic retinopathy (pdr)
57066.jpg,proliferative diabetic retinopathy (pdr)
22233.jpg,proliferative diabetic retinopathy (pdr)
121802.jpg,proliferative diabetic retinopathy (pdr)
27863.jpg,proliferative diabetic retinopathy (pdr)
22230.jpg,proliferative diabetic retinopathy (pdr)
51785.jpg,proliferative diabetic retinopathy (pdr)
27954.jpg,proliferative diabetic retinopathy (pdr)
131309.jpg,proliferative diabetic retinopathy (pdr)
2268.jpg,proliferative diabetic retinopathy (pdr)
131178.jpg,proliferative diabetic retinopathy (pdr)
26215.jpg,proliferative diabetic retinopathy (pdr)
112371.jpg,proliferative diabetic retinopathy (pdr)
16616.jpg,proliferative diabetic retinopathy (pdr)
46636.jpg,proliferative diabetic retinopathy (pdr)
26471.jpg,proliferative diabetic retinopathy (pdr)
22232.jpg,proliferative diabetic retinopathy (pdr)
29011.jpg,proliferative diabetic retinopathy (pdr)
27759.jpg,proliferative diabetic retinopathy (pdr)
18984.jpg,proliferative diabetic retinopathy (pdr)
18148.jpg,proliferative diabetic retinopathy (pdr)
27763.jpg,proliferative diabetic retinopathy (pdr)
18150.jpg,proliferative diabetic retinopathy (pdr)
57083.jpg,proliferative diabetic retinopathy (pdr)
17561.jpg,proliferative diabetic retinopathy (pdr)
133237.jpg,proliferative diabetic retinopathy (pdr)
103998.jpg,proliferative diabetic retinopathy (pdr)
19580.jpg,proliferative diabetic retinopathy (pdr)
84076.jpg,proliferative diabetic retinopathy (pdr)
133186.jpg,proliferative diabetic retinopathy (pdr)
130187.jpg,proliferative diabetic retinopathy (pdr)
29697.jpg,proliferative diabetic retinopathy (pdr)
85162.jpg,proliferative diabetic retinopathy (pdr)
18649.jpg,proliferative diabetic retinopathy (pdr)
28253.jpg,proliferative diabetic retinopathy (pdr)
133836.jpg,proliferative diabetic retinopathy (pdr)
28836.jpg,proliferative diabetic retinopathy (pdr)
31136.jpg,proliferative diabetic retinopathy (pdr)
26216.jpg,proliferative diabetic retinopathy (pdr)
25019.jpg,proliferative diabetic retinopathy (pdr)
15510.jpg,proliferative diabetic retinopathy (pdr)
28210.jpg,proliferative diabetic retinopathy (pdr)
18983.jpg,proliferative diabetic retinopathy (pdr)
30105.jpg,proliferative diabetic retinopathy (pdr)
41524.jpg,proliferative diabetic retinopathy (pdr)
83024.jpg,proliferative diabetic retinopathy (pdr)
15966.jpg,proliferative diabetic retinopathy (pdr)
41533.jpg,proliferative diabetic retinopathy (pdr)
133746.jpg,proliferative diabetic retinopathy (pdr)
19186.jpg,proliferative diabetic retinopathy (pdr)
15965.jpg,proliferative diabetic retinopathy (pdr)
100881.jpg,proliferative diabetic retinopathy (pdr)
127025.jpg,proliferative diabetic retinopathy (pdr)
28411.jpg,proliferative diabetic retinopathy (pdr)
24064.jpg,proliferative diabetic retinopathy (pdr)
132816.jpg,proliferative diabetic retinopathy (pdr)
17718.jpg,proliferative diabetic retinopathy (pdr)
28001.jpg,proliferative diabetic retinopathy (pdr)
15512.jpg,proliferative diabetic retinopathy (pdr)
15498.jpg,proliferative diabetic retinopathy (pdr)
30021.jpg,proliferative diabetic retinopathy (pdr)
27984.jpg,proliferative diabetic retinopathy (pdr)
16614.jpg,proliferative diabetic retinopathy (pdr)
106088.gif,proliferative diabetic retinopathy (pdr)
99782.jpg,proliferative diabetic retinopathy (pdr)
130501.jpg,proliferative diabetic retinopathy (pdr)
28045.jpg,proliferative diabetic retinopathy (pdr)
17768.jpg,proliferative diabetic retinopathy (pdr)
15186.jpg,proliferative diabetic retinopathy (pdr)
18145.jpg,proliferative diabetic retinopathy (pdr)
133829.jpg,proliferative diabetic retinopathy (pdr)
100888.jpg,proliferative diabetic retinopathy (pdr)
18859.jpg,proliferative diabetic retinopathy (pdr)
27736.jpg,proliferative diabetic retinopathy (pdr)
24996.jpg,proliferative diabetic retinopathy (pdr)
15187.jpg,proliferative diabetic retinopathy (pdr)
16619.jpg,proliferative diabetic retinopathy (pdr)
15513.jpg,proliferative diabetic retinopathy (pdr)
27747.jpg,proliferative diabetic retinopathy (pdr)
54854.jpg,proliferative diabetic retinopathy (pdr)
100850.jpg,proliferative diabetic retinopathy (pdr)
15185.jpg,proliferative diabetic retinopathy (pdr)
57063.jpg,proliferative diabetic retinopathy (pdr)
54853.jpg,proliferative diabetic retinopathy (pdr)
119648.jpg,proliferative diabetic retinopathy (pdr)
27985.jpg,proliferative diabetic retinopathy (pdr)
122841.jpg,proliferative diabetic retinopathy (pdr)
116577.jpg,proliferative diabetic retinopathy (pdr)
5480.jpg,proliferative diabetic retinopathy (pdr)
103999.jpg,proliferative diabetic retinopathy (pdr)
28382.jpg,proliferative diabetic retinopathy (pdr)
18012.jpg,proliferative diabetic retinopathy (pdr)
18157.jpg,proliferative diabetic retinopathy (pdr)
122919.jpg,proliferative diabetic retinopathy (pdr)
130726.jpg,proliferative diabetic retinopathy (pdr)
132838.jpg,proliferative diabetic retinopathy (pdr)
27735.jpg,proliferative diabetic retinopathy (pdr)
96663.jpg,proliferative diabetic retinopathy (pdr)
22236.jpg,proliferative diabetic retinopathy (pdr)
18152.jpg,proliferative diabetic retinopathy (pdr)
15506.jpg,proliferative diabetic retinopathy (pdr)
133247.jpg,proliferative diabetic retinopathy (pdr)
133418.jpg,proliferative diabetic retinopathy (pdr)
113464.jpg,proliferative diabetic retinopathy (pdr)
18266.jpg,proliferative diabetic retinopathy (pdr)
25890.jpg,proliferative diabetic retinopathy (pdr)
100883.jpg,proliferative diabetic retinopathy (pdr)
130665.jpg,proliferative diabetic retinopathy (pdr)
130186.jpg,proliferative diabetic retinopathy (pdr)
131497.jpg,proliferative diabetic retinopathy (pdr)
85160.jpg,proliferative diabetic retinopathy (pdr)
18154.jpg,proliferative diabetic retinopathy (pdr)
27773.jpg,proliferative diabetic retinopathy (pdr)
15181.jpg,proliferative diabetic retinopathy (pdr)
15192.jpg,proliferative diabetic retinopathy (pdr)
112358.jpg,proliferative diabetic retinopathy (pdr)
57064.jpg,proliferative diabetic retinopathy (pdr)
130948.jpg,proliferative diabetic retinopathy (pdr)
29696.jpg,proliferative diabetic retinopathy (pdr)
28439.jpg,proliferative diabetic retinopathy (pdr)
102953.jpg,proliferative diabetic retinopathy (pdr)
18860.jpg,proliferative diabetic retinopathy (pdr)
27292.jpg,proliferative diabetic retinopathy (pdr)
130573.jpg,proliferative diabetic retinopathy (pdr)
13335.jpg,proliferative diabetic retinopathy (pdr)
25889.jpg,proliferative diabetic retinopathy (pdr)
1458.jpg,proliferative diabetic retinopathy (pdr)
16608.jpg,proliferative diabetic retinopathy (pdr)
18799.jpg,proliferative diabetic retinopathy (pdr)
16615.jpg,proliferative diabetic retinopathy (pdr)
26527.jpg,proliferative diabetic retinopathy (pdr)
113456.jpg,proliferative diabetic retinopathy (pdr)
99785.jpg,proliferative diabetic retinopathy (pdr)
130667.jpg,proliferative diabetic retinopathy (pdr)
57082.jpg,proliferative diabetic retinopathy (pdr)
27931.jpg,proliferative diabetic retinopathy (pdr)
16613.jpg,proliferative diabetic retinopathy (pdr)
102951.jpg,proliferative diabetic retinopathy (pdr)
28416.jpg,proliferative diabetic retinopathy (pdr)
28436.jpg,proliferative diabetic retinopathy (pdr)
43546.jpg,proliferative diabetic retinopathy (pdr)
133745.jpg,proliferative diabetic retinopathy (pdr)
21106.jpg,proliferative diabetic retinopathy (pdr)
112337.jpg,proliferative diabetic retinopathy (pdr)
112374.jpg,proliferative diabetic retinopathy (pdr)
85114.jpg,proliferative diabetic retinopathy (pdr)
27728.jpg,proliferative diabetic retinopathy (pdr)
113454.jpg,proliferative diabetic retinopathy (pdr)
133804.jpg,proliferative diabetic retinopathy (pdr)
83050.jpg,proliferative diabetic retinopathy (pdr)
19579.jpg,proliferative diabetic retinopathy (pdr)
99800.jpg,proliferative diabetic retinopathy (pdr)
27166.jpg,proliferative diabetic retinopathy (pdr)
33147.jpg,proliferative diabetic retinopathy (pdr)
29695.jpg,proliferative diabetic retinopathy (pdr)
131435.jpg,proliferative diabetic retinopathy (pdr)
22227.jpg,proliferative diabetic retinopathy (pdr)
18245.jpg,proliferative diabetic retinopathy (pdr)
28380.jpg,proliferative diabetic retinopathy (pdr)
27293.jpg,proliferative diabetic retinopathy (pdr)
28755.jpg,proliferative diabetic retinopathy (pdr)
121770.jpg,proliferative diabetic retinopathy (pdr)
13333.jpg,proliferative diabetic retinopathy (pdr)
28438.jpg,proliferative diabetic retinopathy (pdr)
27269.jpg,proliferative diabetic retinopathy (pdr)
131573.jpg,proliferative diabetic retinopathy (pdr)
74694.jpg,proliferative diabetic retinopathy (pdr)
27953.jpg,proliferative diabetic retinopathy (pdr)
25888.jpg,proliferative diabetic retinopathy (pdr)
27132.jpg,proliferative diabetic retinopathy (pdr)
27144.jpg,proliferative diabetic retinopathy (pdr)
110258.jpg,proliferative diabetic retinopathy (pdr)
130727.jpg,proliferative diabetic retinopathy (pdr)
18858.jpg,proliferative diabetic retinopathy (pdr)
124985.jpg,proliferative diabetic retinopathy (pdr)
28066.jpg,proliferative diabetic retinopathy (pdr)
133835.jpg,proliferative diabetic retinopathy (pdr)
130257.jpg,proliferative diabetic retinopathy (pdr)
28538.jpg,proliferative diabetic retinopathy (pdr)
132819.jpg,proliferative diabetic retinopathy (pdr)
23968.jpg,proliferative diabetic retinopathy (pdr)
15511.jpg,proliferative diabetic retinopathy (pdr)
15501.jpg,proliferative diabetic retinopathy (pdr)
27971.jpg,proliferative diabetic retinopathy (pdr)
59135.jpg,proliferative diabetic retinopathy (pdr)
130190.jpg,proliferative diabetic retinopathy (pdr)
22226.jpg,proliferative diabetic retinopathy (pdr)
131353.jpg,proliferative diabetic retinopathy (pdr)
130510.jpg,proliferative diabetic retinopathy (pdr)
15503.jpg,proliferative diabetic retinopathy (pdr)
15970.jpg,proliferative diabetic retinopathy (pdr)
130859.jpg,proliferative diabetic retinopathy (pdr)
133508.jpg,proliferative diabetic retinopathy (pdr)
41528.jpg,proliferative diabetic retinopathy (pdr)
113432.jpg,proliferative diabetic retinopathy (pdr)
28715.jpg,proliferative diabetic retinopathy (pdr)
28415.jpg,proliferative diabetic retinopathy (pdr)
15497.jpg,proliferative diabetic retinopathy (pdr)
28211.jpg,proliferative diabetic retinopathy (pdr)
52825.jpg,proliferative diabetic retinopathy (pdr)
133654.jpg,proliferative diabetic retinopathy (pdr)
130452.jpg,proliferative diabetic retinopathy (pdr)
28334.jpg,proliferative diabetic retinopathy (pdr)
28265.jpg,proliferative diabetic retinopathy (pdr)
97728.jpg,proliferative diabetic retinopathy (pdr)
122898.jpg,proliferative diabetic retinopathy (pdr)
15496.jpg,proliferative diabetic retinopathy (pdr)
57089.jpg,proliferative diabetic retinopathy (pdr)
16570.jpg,proliferative diabetic retinopathy (pdr)
15190.jpg,proliferative diabetic retinopathy (pdr)
26905.gif,proliferative diabetic retinopathy (pdr)
28103.jpg,proliferative diabetic retinopathy (pdr)
14623.jpg,proliferative diabetic retinopathy (pdr)
28462.jpg,proliferative diabetic retinopathy (pdr)
122901.jpg,proliferative diabetic retinopathy (pdr)
1119.jpg,branch retinal vein occlusion (brvo)
7780.jpg,branch retinal vein occlusion (brvo)
80931.jpg,branch retinal vein occlusion (brvo)
33177.jpg,branch retinal vein occlusion (brvo)
18711.jpg,branch retinal vein occlusion (brvo)
24291.jpg,branch retinal vein occlusion (brvo)
14230.jpg,branch retinal vein occlusion (brvo)
14219.jpg,branch retinal vein occlusion (brvo)
15934.jpg,branch retinal vein occlusion (brvo)
122924.jpg,branch retinal vein occlusion (brvo)
323.jpg,branch retinal vein occlusion (brvo)
17903.jpg,branch retinal vein occlusion (brvo)
104042.jpg,branch retinal vein occlusion (brvo)
91407.jpg,branch retinal vein occlusion (brvo)
22143.jpg,branch retinal vein occlusion (brvo)
91408.jpg,branch retinal vein occlusion (brvo)
28175.jpg,branch retinal vein occlusion (brvo)
3070.jpg,branch retinal vein occlusion (brvo)
14233.jpg,branch retinal vein occlusion (brvo)
15230.jpg,branch retinal vein occlusion (brvo)
14184.jpg,branch retinal vein occlusion (brvo)
104040.jpg,branch retinal vein occlusion (brvo)
90285.jpg,branch retinal vein occlusion (brvo)
130254.jpg,branch retinal vein occlusion (brvo)
14176.jpg,branch retinal vein occlusion (brvo)
85099.jpg,branch retinal vein occlusion (brvo)
16753.jpg,branch retinal vein occlusion (brvo)
18708.jpg,branch retinal vein occlusion (brvo)
14206.jpg,branch retinal vein occlusion (brvo)
715.jpg,branch retinal vein occlusion (brvo)
90286.jpg,branch retinal vein occlusion (brvo)
10986.jpg,branch retinal vein occlusion (brvo)
21482.jpg,branch retinal vein occlusion (brvo)
21485.jpg,branch retinal vein occlusion (brvo)
131462.jpg,branch retinal vein occlusion (brvo)
834.jpg,branch retinal vein occlusion (brvo)
132927.jpg,branch retinal vein occlusion (brvo)
116564.jpg,branch retinal vein occlusion (brvo)
17904.jpg,branch retinal vein occlusion (brvo)
105059.jpg,branch retinal vein occlusion (brvo)
130636.jpg,branch retinal vein occlusion (brvo)
14222.jpg,branch retinal vein occlusion (brvo)
14202.jpg,branch retinal vein occlusion (brvo)
5410.jpg,branch retinal vein occlusion (brvo)
27667.jpg,branch retinal vein occlusion (brvo)
1120.jpg,branch retinal vein occlusion (brvo)
116563.jpg,branch retinal vein occlusion (brvo)
133178.jpg,branch retinal vein occlusion (brvo)
133454.jpg,branch retinal vein occlusion (brvo)
15377.jpg,branch retinal vein occlusion (brvo)
15926.jpg,branch retinal vein occlusion (brvo)
131490.jpg,branch retinal vein occlusion (brvo)
14211.jpg,branch retinal vein occlusion (brvo)
5398.jpg,branch retinal vein occlusion (brvo)
24287.jpg,branch retinal vein occlusion (brvo)
133356.jpg,branch retinal vein occlusion (brvo)
74733.jpg,branch retinal vein occlusion (brvo)
17540.jpg,branch retinal vein occlusion (brvo)
133049.jpg,branch retinal vein occlusion (brvo)
133726.jpg,branch retinal vein occlusion (brvo)
18705.jpg,branch retinal vein occlusion (brvo)
15382.jpg,branch retinal vein occlusion (brvo)
115490.jpg,branch retinal vein occlusion (brvo)
15927.jpg,branch retinal vein occlusion (brvo)
5409.jpg,branch retinal vein occlusion (brvo)
22135.jpg,branch retinal vein occlusion (brvo)
3268.jpg,branch retinal vein occlusion (brvo)
1527.jpg,branch retinal vein occlusion (brvo)
9770.jpg,branch retinal vein occlusion (brvo)
34187.jpg,branch retinal vein occlusion (brvo)
121803.jpg,branch retinal vein occlusion (brvo)
